asc,beta_dur,beta_time,beta_frag,beta_size,beta_compen
0.13951768443870044,-0.0002038472333702038,-0.2022301616520484,0.9909898962109,0.16807244241301755,0.03464094951190648
0.13929494876312057,-0.0001602182971883476,-0.2020054708339822,0.9877930401215154,0.1680326749099787,0.03453335105692122
0.13956331362942218,4.058778977171715e-05,-0.20113347167786869,0.9723480558320432,0.1704293496178103,0.03390969335280714
0.1425935623214274,0.00020236372560447516,-0.20077900389734096,0.9549273598707724,0.17841338673548435,0.03315682414680405
0.15583920738049337,0.0003734059350466099,-0.2013714143044721,0.9238415086537263,0.20774864212531746,0.03143612812904483
0.19147600906640203,0.0002333718881921381,-0.20583678510837455,0.8833450216460808,0.28148481315221374,0.02864917425121618
0.2723586319811801,-0.0007022827503123878,-0.21806746549234404,0.8433123084896528,0.44241062209781756,0.024162486573556234
0.38764012583242324,-0.002616667029597383,-0.24802733586535777,0.8344627008491382,0.6677975373235562,0.021624767190896618
0.40021135147512127,-0.00318574807268628,-0.24138575495257186,0.85095315609979,0.6885421657060219,0.01932488277907149
0.47049403134259343,-0.00471990444892816,-0.2582132602410604,0.8915431346206945,0.8198784850896177,0.018985708247904805
0.47762920282092874,-0.005617155054674325,-0.2658419290142972,0.9330290623814061,0.8294416513272944,0.02139990686634608
0.47726123182371266,-0.005449693460393027,-0.2624161962178982,0.9365500909167451,0.8277917224372507,0.020809567895980437
0.4697162813106409,-0.005390973700621463,-0.2610004586187026,0.9398518064476052,0.8128036079428138,0.021182802119656282
0.46766535246889723,-0.005619770072689219,-0.2583924011978958,0.9367428102307743,0.8098658925418086,0.021544306880078808
0.4669240254546321,-0.0056788590640212055,-0.2577471551259365,0.9360597784533511,0.8098235439963637,0.02164151655954235
0.46186638163717325,-0.005914251112455495,-0.2549084171336478,0.9333102908614428,0.8118671796770779,0.022087188531318892
0.45136908433180956,-0.006153758653520809,-0.2512452958079764,0.9303560656513978,0.8186048990966786,0.022693829715967385
0.4225731684722642,-0.006433709091825228,-0.2446216741596535,0.9263398853120678,0.8418068697043,0.023865768480807875
0.3629797299595396,-0.006467479924946843,-0.23580921648174666,0.9239858666987419,0.8956170987160278,0.02558918229725314
0.2668958898726619,-0.005833601186420129,-0.22777668864700693,0.9286389649736314,0.9918692686487135,0.027393585436675354
0.2653190982562037,-0.005777561525433621,-0.22851295566334706,0.9271735423908547,0.9905283571217107,0.02764717020439861
0.18695940962475793,-0.004535567108562763,-0.22844963039394903,0.9390587602206875,1.081415567345684,0.028054594335751158
0.1712744429742003,-0.0036750907653336625,-0.23485096843144415,0.9463070109875801,1.106150734159665,0.027404089268084342
0.17230903391785712,-0.0035965852920025318,-0.234268390825954,0.9483781085035115,1.108950156684418,0.0271096684090857
0.18263814038735646,-0.0034732376556596304,-0.23715111501358058,0.9494579528430819,1.1004434012981466,0.02669593720184245
0.18629961079832796,-0.0034905448584673466,-0.2376703203606183,0.9496929686520534,1.0972584777023222,0.026628990965195103
0.1861749666411095,-0.0035004074381440905,-0.2377891309171416,0.9501849624141362,1.098080386673214,0.026657983839852628
