tau_mean,sigma_tau,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
-0.3379701408380812,-1.26279287905888,0.4550277779122249,-1.4986133990463542,0.47076263147290803,0.7807059123772873,0.34231657940560994,1.053083697247718,0.6938044865687533,0.9904495030925139,-0.25684565707656193,-0.19034148655950117
-0.3476455839228669,-1.2731377098349275,0.46959667944383576,-1.4832998305776712,0.4752059359127825,0.7891286160236793,0.35627712380597487,1.051107582641778,0.7012555572626735,0.9817955470609785,-0.2547424255944816,-0.1902216633101613
-0.3507754443459357,-1.2826476145779553,0.46966145680683935,-1.483815375215566,0.4784967957613132,0.7764881296686844,0.3594610340490624,1.0424646080678872,0.6990257734363324,0.9831321145770211,-0.254943687853642,-0.19053696233591072
-0.3654117726298065,-1.252920074970529,0.49352452672899283,-1.4804205962468737,0.4706266906750654,0.6930330947134414,0.3627915539814662,0.982551058560584,0.7321610397229719,0.9842504525688901,-0.2651353878663173,-0.20059794296472697
-0.3571840118015846,-1.198701006328023,0.5452841376476357,-1.4671731140819275,0.5021677064225234,0.43492408615005657,0.41774384760060235,0.7822612315332325,0.7378402748893518,1.0504114796387083,-0.2768821360082353,-0.23170788187425112
-0.37078016012400095,-1.1874069828713303,0.5711579574734328,-1.4498525472185178,0.4713391645504386,0.2816660068445094,0.4040349203544734,0.6617063294538794,0.7673048846389253,1.0487578033550282,-0.28395889826263687,-0.24170886504464345
-0.3712571719674341,-1.1725127989951933,0.6082459230188867,-1.4260436275857087,0.44665554510466005,0.13220956313537657,0.4062453817647124,0.5410753469204332,0.8026221066027126,1.0418847665215074,-0.28601996940924806,-0.2505761322189079
-0.3808049017810079,-1.1686562020367572,0.6385751191355021,-1.4223712681045853,0.41512158035098873,0.055011606058133725,0.39867037849304027,0.48365281131070903,0.8436638959053953,1.0399018211179867,-0.28843785616322803,-0.2553109775792578
-0.3803847053915854,-1.1627883725185066,0.6621159884880673,-1.4157110948335208,0.4091730427907622,0.01577360387820674,0.41006186125687627,0.45248767035049064,0.8636757637057886,1.0372109771743037,-0.28790614262405667,-0.2572852915288208
-0.3865904611273086,-1.1589402617936044,0.7110546395737164,-1.4197185712894116,0.37758183313434346,0.0007422035751977734,0.4158742113087934,0.4447665901622985,0.9179223834257062,1.0377647646820685,-0.2892687600000333,-0.2599009627572065
-0.3892721864404292,-1.146587606622868,0.8058286422581349,-1.4180546122925792,0.33539563765521,0.05716699457595293,0.4437819064265167,0.48588073665688053,1.0076118965390068,1.0356120926198669,-0.28936776883626425,-0.26422207223858096
-0.3869162886123635,-1.1479433038421791,0.8440072626379493,-1.417758108312212,0.33790421265188403,0.03759765879680191,0.469357364434564,0.4702190082365081,1.0111688041122133,1.047795927893042,-0.28832610937341163,-0.2639166717825775
-0.38409357588549864,-1.159687964615241,0.8634815890905978,-1.4357817026343418,0.32079373503763786,0.00021128071115095876,0.45868051106557894,0.45023894019577376,0.9747378971569509,1.0648456853380996,-0.28807227011657616,-0.25857451715626634
-0.3822715341402272,-1.1655191508037406,0.9061026052326608,-1.4577816583980152,0.28313071257688505,0.0013158891686473398,0.4393797793564845,0.46142235194329273,0.9361694050241121,1.070602566613015,-0.2872129039380734,-0.25327336571070225
-0.38551740258418504,-1.1630991206270866,1.0240174404966627,-1.5102546667629748,0.21266825731555267,0.014606075260178417,0.41943425937898404,0.49518658227689666,0.8744534282844267,1.0883520191179963,-0.28836503813848313,-0.25310719714904084
-0.38302755103005504,-1.1535843853245251,1.069946296376998,-1.520900603075634,0.21119057621778406,0.014746044295089796,0.43267961949059636,0.49921036453285017,0.8701531909063084,1.0830326464344502,-0.2899981769368326,-0.254645921001675
-0.3831676630247074,-1.1451543341721462,1.1327361836713763,-1.544561015315634,0.22078526877490678,0.018538738352315218,0.45409102545663993,0.5085435416049267,0.8651220078902686,1.0821425937908595,-0.2937589398151143,-0.2577857382784633
-0.38036525518158804,-1.134977122350736,1.2651791219477473,-1.5742612007172327,0.25311422179872733,0.022900020317044942,0.5172311291768819,0.5154051463142075,0.8847916412083834,1.0674951170650564,-0.2984379887578238,-0.26063262197435133
