alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0.44942610442399894,-1.3783895774407362,0.09461992303726169,0.018695797575996254,0.09629510455424452,0.4429892985663404,3.2334109487510228e-06,1.0188555778228656,-0.19446302665692247,-0.22369988630472695
0.48416722447980703,-1.4710459338700446,0.13281766165380476,0.023119391910336958,0.1441334903021347,0.4646163532120642,3.354073711785085e-06,1.0111516836295507,-0.19116216807945574,-0.22456508751756282
0.5284264277937313,-1.6156423659269215,0.18840131364386742,0.02868620133256892,0.21013539973203726,0.49814811693360017,3.5239926202354302e-06,1.0041131228137754,-0.18980199257918862,-0.22650692045890092
0.5434613121675133,-1.7037867605838002,0.21927193454188787,0.031956780786041146,0.2385547162952158,0.5163579942504273,3.58908281221115e-06,1.0028549614240263,-0.19097916570101317,-0.22739819595861502
0.5583570711047798,-1.79553206392078,0.24894818556691642,0.0343854055396414,0.27151300849831606,0.5367133546178303,3.6825661048021203e-06,1.0049505345355876,-0.19157650912954372,-0.22945209100058736
0.5398156338677862,-1.88012271075974,0.26760575872761216,0.036536831776709223,0.26887635114547026,0.5534247900440888,3.6751258976283e-06,1.0090034269925876,-0.19247813452979654,-0.22964803353538035
0.5008945459541743,-1.9742591714132876,0.2817633321108376,0.03800676862666354,0.2544055479119768,0.5703087720003199,3.643414825064615e-06,1.0125189653243756,-0.19307025376313508,-0.23001295783461037
0.4106922991503643,-2.1201134760816127,0.2935197953664432,0.0402388665550901,0.20413626904584123,0.5984361773663499,3.533584181675729e-06,1.0177089922262461,-0.19296032557027157,-0.22989715744014333
0.3733777982071603,-2.1344151334438073,0.2871957682845788,0.042164387300523604,0.17180376166398717,0.59985768819047,3.4412352521298003e-06,1.0096430377404966,-0.19245552112963543,-0.2289364119783113
0.377851124349062,-2.113131065421794,0.2830376968157467,0.043377132398835894,0.16961985785768435,0.5964063170184782,3.429826233014247e-06,1.003612974355813,-0.19205413210036834,-0.2283315788238079
0.3737586374594384,-2.0697462446374058,0.26904093258556916,0.0464647271634054,0.15293376983017276,0.5903663894795447,3.383481500857042e-06,0.9994907908420341,-0.19187929830234804,-0.22853304883581213
0.3680057992578244,-2.067724939371512,0.2647753150357662,0.04914326400382793,0.1440607661070976,0.5934959610986132,3.370282436956774e-06,1.001601246564066,-0.19217288530789087,-0.22875618549841634
0.36123311293051014,-2.0553248813216887,0.2565216082080781,0.05291316598087251,0.13183514410102512,0.594088389576019,3.3474345407972552e-06,1.0041045122848673,-0.19295156759720591,-0.2292172847193375
0.3557227566859568,-2.0659324418656517,0.253889874501448,0.057497615634531846,0.125153689513439,0.5995547525431936,3.3448292985238877e-06,1.0067464519814293,-0.19347220355830322,-0.22953203701558925
0.3519539552809266,-2.086589309468016,0.25173311803581305,0.06455828893390354,0.12012251842097416,0.6081986409809907,3.3560949751587975e-06,1.0097351169254953,-0.1939555680017653,-0.22982502166892316
0.34914655528013133,-2.126206539368881,0.2496481360604003,0.07584871841373528,0.11592757822443334,0.6227153918547795,3.388463694529456e-06,1.012890554056135,-0.194286352243503,-0.22999678647946023
0.349455529361248,-2.197368458649006,0.24642024270413615,0.09371070245005081,0.1137136924189587,0.6465186716370244,3.46313052200013e-06,1.01616438661089,-0.19427832776002377,-0.22993179567159566
0.3572550378898448,-2.3055044370697253,0.240565572955886,0.11584187944020452,0.11690558432838705,0.6782449030742528,3.602544330604515e-06,1.0177723147332003,-0.19353976393286865,-0.2293359862284106
0.3718035983952678,-2.388610027483497,0.23125702350978894,0.12710492966704046,0.1242393508365886,0.6973784156803319,3.7447012785087272e-06,1.0161087636827297,-0.1924823779814577,-0.22854993363926487
0.39748180608346984,-2.4880592858727923,0.211103481506076,0.13092377947879297,0.13420495798251703,0.7130428067651216,3.954437281365922e-06,1.0111720141025657,-0.19100710337670201,-0.22758833007167853
0.41903147296215115,-2.5468047418619526,0.1786105583966605,0.12221228685367999,0.13002774821272312,0.7136255518762089,4.122779298705366e-06,1.0042413489504944,-0.19013380757017423,-0.22719091029486546
0.4267049863679994,-2.5839830153636494,0.14378674074168962,0.10225361016567171,0.11028825336925763,0.7054816466747782,4.225352534200741e-06,0.998976478462388,-0.1902047685561888,-0.22768796743763686
