beta_dec,lamda_dec,sigma_dec,alpha_dec,alpha_acc,sigma_acc,gamma_dec,beta_acc,lamda_acc,gamma_acc
0.4914556498584166,0.9488458402046634,-0.2196107951295364,-2.391556482645024,1.3883449599373814,-0.2436402610859203,0.978878318301111,-0.07646884614419187,0.8321443866506324,0.3363758633124746
0.4873778933806725,0.9485534976883768,-0.21959807038228907,-2.4254203980278826,1.3817612331759865,-0.24357677538308864,0.9798224282882548,-0.07700225879174334,0.8321137003484887,0.334245701334955
0.48313753706355533,0.9476560507479049,-0.21937162246924868,-2.4568092713078555,1.3832974292560338,-0.2436113556200926,0.9807102273198659,-0.0776162382181155,0.8319544463478645,0.3342560054139037
0.48243941688631614,0.947024586881676,-0.2192089326022512,-2.46110053815449,1.3878400166774123,-0.24362444241147505,0.9802729467402505,-0.07778812130344623,0.8320303318403092,0.33549945525915187
0.48203493364209776,0.947055592549421,-0.21918603016368668,-2.464266804852189,1.3918031998216658,-0.2436335009110607,0.9805739306592933,-0.0774118179702245,0.8322886863402634,0.3368033272390681
0.4821994911593507,0.9471368369471067,-0.21920826925165074,-2.4622727962956152,1.3922552177421368,-0.24362302701986677,0.9804432479245222,-0.07720358259226784,0.8324525347178197,0.33711581609375196
0.4822180079208913,0.9471590738136504,-0.2192213598521219,-2.4617605740585726,1.3925977967578729,-0.2436158037958835,0.980386040799635,-0.07710524554145476,0.8325550831298403,0.3372763115934696
0.4821933047529231,0.9471641466732365,-0.21922312060220525,-2.4619147374770822,1.3924527922094485,-0.24361454808584818,0.9803898751919576,-0.0771091939353435,0.8325630475491927,0.33724337134131
0.48218817651736817,0.9471662637896003,-0.2192234255449813,-2.461975950571442,1.3924257582594217,-0.24361450140396596,0.9803944648947572,-0.07711389006767223,0.8325638620814505,0.33723302624966484
0.48218817651885,0.9471662637891423,-0.2192234255449019,-2.4619759505650887,1.392425758253981,-0.24361450140400853,0.9803944648948487,-0.07711389006835129,0.8325638620801512,0.3372330262476282
