asc_acc,asc_dec,beta_acc,beta_dec,alpha_acc,alpha_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec,sigma_nt,constant
-0.0947283125176412,-0.1571249085387062,0.7349393926080995,-0.596096035432027,0.12222928503731574,-0.785524155480525,0.8595890752914573,-0.21948358006606516,0.956805393383055,0.05300650375234891,-0.1338193289055854,-0.003966202253940491,-2.0624369552460116,0.0006243404856829174
-0.0947284016532364,-0.15712491544555152,0.7349393521601993,-0.5960961944101025,0.1222294565550224,-0.7855241900301083,0.8595891114071176,-0.2194834186168242,0.9568053953261599,0.0530065003372014,-0.1338193678092147,-0.003966265716284933,-2.0624368012252257,0.0006243311775778972
-0.09472904261521961,-0.15712481011960222,0.7349389954360037,-0.5960969292499646,0.12223142573686764,-0.7855241011042019,0.8595893614652754,-0.21948215886160785,0.9568054436835365,0.053006459690357235,-0.13381973527542834,-0.003966691115236288,-2.0624357982074564,0.000624270341959023
-0.09472908981876565,-0.1571247681426661,0.7349389609340753,-0.5960969021702641,0.12223146514806657,-0.7855239692702177,0.8595893111587731,-0.2194821318461635,0.9568054472017129,0.05300646673779371,-0.13381973997859065,-0.00396671434954792,-2.0624357948889465,0.000624292935169838
-0.09472904394195075,-0.15712473324661724,0.7349389358005113,-0.5960968112498218,0.12223139185192018,-0.7855237804940346,0.85958925907917,-0.21948226513518693,0.9568054450901048,0.05300648127663984,-0.13381974056876184,-0.0039666744210975526,-2.0624359082018198,0.0006243202342407409
-0.09472910119310697,-0.15712465131602887,0.7349388660529754,-0.596096734258945,0.12223135991141902,-0.7855235385717029,0.8595891797447669,-0.2194823477743236,0.9568054380056723,0.05300651676682307,-0.1338197514871111,-0.003966537198065379,-2.0624360229580296,0.0006243636344874586
-0.09472918899124597,-0.15712472681478165,0.7349387914674813,-0.5960967845438022,0.12223185086457586,-0.7855233117377334,0.8595892908939343,-0.21948216238252394,0.9568054446465882,0.053006521467434335,-0.13381994322823576,-0.0039667127829869095,-2.06243581971064,0.0006244130607686746
-0.09472929651555438,-0.1571247857097929,0.7349386765727471,-0.5960968590865301,0.12223247876468331,-0.7855229776061681,0.8595894180461487,-0.21948193745574093,0.9568054540942263,0.05300652526810021,-0.13382017779088232,-0.003966923063472996,-2.06243557946479,0.0006244662853197692
-0.09472941258399593,-0.15712484554912326,0.7349385589840105,-0.5960969265802609,0.12223314296823776,-0.7855226932369902,0.859589515772397,-0.2194817090727852,0.956805468869624,0.05300652704268959,-0.13382039987018887,-0.003967133503892433,-2.0624353099111086,0.0006245018710196668
-0.09472946713638383,-0.15712486260942513,0.7349385073500144,-0.5960968468288282,0.12223334818335105,-0.7855226110660888,0.8595895283827134,-0.21948168129059076,0.9568054749475514,0.05300652707034001,-0.1338204651394635,-0.003967192572799221,-2.062435236435967,0.0006245055046195314
-0.09472949692361396,-0.15712486978478807,0.7349384750256138,-0.5960966805563839,0.12223342838930064,-0.7855225242361726,0.8595894933997391,-0.21948173043249608,0.9568054834761975,0.05300652359336432,-0.13382050420855424,-0.003967254753502093,-2.062435214649997,0.0006244791047145089
-0.09472954689951502,-0.1571248838893193,0.734938421457075,-0.5960963749211453,0.12223354784951251,-0.7855223704488887,0.8595894257881767,-0.21948185119740965,0.9568054982351928,0.053006517445940995,-0.13382056306118964,-0.003967355047770345,-2.0624351920432393,0.0006244335167586005
-0.09472963962247942,-0.15712490735883874,0.7349383272648589,-0.5960959174496041,0.1222337824291657,-0.7855220876774209,0.8595893287844399,-0.219482033295926,0.9568055217747895,0.05300650831182322,-0.13382067137312326,-0.003967513023297266,-2.0624351361170787,0.0006243664091763068
-0.09472977929706373,-0.1571249152296633,0.7349382671758661,-0.596095507152798,0.12223417822891544,-0.7855217914876003,0.8595891836413934,-0.21948214202242494,0.9568055579209154,0.05300649982873632,-0.1338207627829294,-0.003967741574868508,-2.0624351020661007,0.0006243275374353505
-0.09472977948073336,-0.15712491524845815,0.7349382670541882,-0.5960955065064384,0.12223417884637973,-0.7855217909715996,0.8595891834613744,-0.21948214227397833,0.9568055579734708,0.05300649980956609,-0.1338207629503358,-0.003967741951158817,-2.0624351019878113,0.0006243274728920155
-0.09472977948310403,-0.15712491524621264,0.7349382670538512,-0.5960955065015651,0.12223417884769014,-0.7855217909655158,0.8595891834581152,-0.21948214227967847,0.9568055579739637,0.053006499809169404,-0.13382076295005546,-0.003967741949837371,-2.0624351019902174,0.000624327471773694
-0.0947297794832454,-0.15712491524611477,0.7349382670538257,-0.596095506501412,0.12223417884778953,-0.785521790965215,0.8595891834579744,-0.2194821422798717,0.9568055579739854,0.05300649980915378,-0.13382076295005363,-0.003967741949817589,-2.062435101990309,0.0006243274717436668
