,time,entity,id,x,y,status
225,37,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
226,37,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
227,37,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
228,38,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
229,38,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
230,38,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
231,38,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
232,38,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
233,38,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
234,39,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
235,39,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
236,39,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
237,39,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
238,39,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
239,39,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
240,40,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
241,40,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
242,40,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
243,40,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
244,40,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
245,40,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
246,41,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
247,41,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
248,41,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
249,41,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
250,41,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
251,41,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
252,42,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
253,42,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
254,42,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
255,42,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
256,42,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
257,42,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
258,43,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
259,43,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
260,43,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
261,43,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
262,43,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
263,43,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
264,44,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
265,44,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
266,44,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
